Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2020,Jan,61.5,59.4,2108977,2037231,71746,3.4
2020,Feb,61.4,59.3,2107699,2033344,74355,3.5
2020,Mar,61.4,59.1,2106741,2030098,76643,3.6
2020,Apr,59.7,51.8,2049533,1778695,270838,13.2
2020,May,61.7,54.5,2121025,1873383,247642,11.7
2020,Jun,62,55.7,2133140,1913733,219407,10.3
2020,Jul,59.2,53.6,2037847,1842992,194855,9.6
2020,Aug,60.6,55.5,2086120,1911571,174549,8.4
2020,Sep,61.1,56.5,2107097,1948079,159018,7.5
2020,Oct,61.5,57.2,2122565,1974681,147884,7
2020,Nov,61.8,57.7,2132974,1992470,140504,6.6
2020,Dec,62,58.1,2141252,2006503,134749,6.3
2021,Jan,62.2,58.3,2150483,2017032,133451,6.2
2021,Feb,62.2,58.4,2152231,2021314,130917,6.1
2021,Mar,62.3,58.6,2156656,2026742,129914,6
2021,Apr,62.4,58.7,2160917,2032705,128212,5.9
2021,May,62.5,58.9,2166857,2040206,126651,5.8
2021,Jun,62.5,59,2168510,2047149,121361,5.6
2021,Jul,62.5,59.2,2170615,2056679,113936,5.2
2021,Aug,62.5,59.4,2170411,2062899,107512,5
2021,Sep,62.4,59.5,2170982,2068818,102164,4.7
2021,Oct,62.3,59.6,2168534,2072922,95612,4.4
